"","x","y","spatial_cluster"
"cell1090",965.553508747369,-5029.82244122028,"13"
"cell1092",850.749505769461,-4992.50844025239,"13"
"cell1100",1011.45350993797,-5032.09044127911,"13"
"cell1106",977.109509047121,-5013.83844080567,"13"
"cell1107",1018.41951011866,-4989.43044017255,"13"
"cell1118",1003.40750972927,-4957.35443934053,"13"
"cell1122",984.345509234816,-4920.04043837264,"13"
"cell1126",930.075507827103,-4939.04843886569,"13"
"cell1128",1007.24150982872,-5011.67844074965,"13"
"cell1139",939.201508063823,-4950.11843915284,"13"
"cell1141",968.577508825809,-4978.84643989801,"13"
"cell1155",960.963508628309,-4908.59243807569,"13"
"cell1158",1011.93950995058,-4922.57843843848,"13"
"cell1159",962.259508661926,-4942.82843896374,"13"
"cell1168",969.765508856624,-4964.26643951982,"13"
"cell1170",1014.86736488342,-4775.93826407194,"13"
"cell1175",844.227360457182,-4723.34226270765,"13"
"cell1185",940.185362946242,-4768.16226387024,"13"
"cell1187",946.611363112926,-4717.02426254377,"13"
"cell1193",966.915363639593,-4883.45226686075,"13"
"cell1195",997.479364432394,-4769.02626389265,"13"
"cell1216",1013.51736484841,-4748.99226337299,"13"
"cell1224",1037.48796547018,-4714.32426247373,"13"
"cell1242",979.821363974363,-4861.04226627946,"13"
"cell1247",870.539371751249,-4608.54995245859,"13"
"cell1250",885.173372130841,-4529.97995042056,"13"
"cell1253",931.721373338252,-4556.76395111531,"13"
"cell1255",920.813373055309,-4579.98395171762,"13"
"cell1266",907.691372714937,-4558.05995114893,"13"
"cell1271",912.821372848004,-4649.15795351192,"13"
"cell1272",884.795372121036,-4542.66995074973,"13"
"cell1273",910.823372796178,-4506.75994981825,"13"
"cell1276",873.131371818483,-4663.95395389572,"13"
"cell1278",932.153373349458,-4603.36595232412,"13"
"cell1279",913.469372864813,-4630.74395303428,"13"
"cell1280",944.303373664618,-4601.9079522863,"13"
"cell1283",999.545375097543,-4657.58195373043,"13"
"cell1287",955.967373967171,-4585.81595186889,"13"
"cell1294",909.689372766763,-4544.99195080996,"13"
"cell1295",942.359373614192,-4626.53195292503,"13"
"cell1301",868.433371696621,-4564.48595131561,"13"
"cell1305",969.251374311745,-4665.46595393494,"13"
"cell1315",934.313373405486,-4642.94795335084,"13"
"cell1320",885.713372144848,-4562.32595125958,"13"
"cell1325",859.415371462703,-4552.82195101306,"13"
"cell1329",923.94537313655,-4639.11395325139,"13"
"cell1337",867.407371670008,-4523.76995025948,"13"
"cell1341",887.819372199476,-4553.09195102006,"13"
"cell1342",895.271372392774,-4650.12995353714,"13"
"cell1343",941.225373584777,-4678.85795428231,"13"
"cell1350",956.685596074909,-4395.81694433093,"13"
"cell1356",893.505594436079,-4473.63094634935,"13"
"cell1362",856.677593480796,-4439.71894546971,"13"
"cell1365",894.045594450086,-4419.63094494864,"13"
"cell1368",932.547595448792,-4451.54494577646,"13"
"cell1387",1009.71359745041,-4417.14694488421,"13"
"cell1396",844.04159315303,-4385.6109440662,"13"
"cell1406",1009.22328385338,-4190.28111803159,"13"
"cell1410",876.977280423045,-4230.78111908212,"13"
"cell1412",977.795283038169,-4179.10311774164,"13"
"cell1416",868.391280200332,-4159.17711722478,"13"
"cell1417",942.587282124907,-4208.10111849383,"13"
"cell1419",907.757281221449,-4166.25111740828,"13"
"cell1421",975.203282970935,-4150.75311700627,"13"
"cell1424",946.421282224357,-4181.26311779767,"13"
"cell1434",968.453282795846,-4127.53311640397,"13"
"cell1441",979.05134884268,-4005.95218096301,"13"
"cell1442",898.699346758425,-4009.89418106526,"13"
"cell1443",925.807347461581,-3897.14217814058,"14"
"cell1444",893.461346622556,-3938.83017922193,"13"
"cell1450",1019.71334989741,-4011.29818110168,"13"
"cell1451",904.801346916705,-3998.44618076831,"13"
"cell1455",965.551348492503,-3975.0641801618,"13"
"cell1456",936.499347738922,-3992.29018060863,"13"
"cell1458",939.847347825766,-4008.11218101904,"13"
"cell1460",1011.39734968171,-3944.230179362,"13"
"cell1468",846.756745411083,-3929.3801789768,"12"
"cell1472",1001.73134943098,-3995.47618069127,"13"
"cell1475",1008.31934960186,-4069.78018261865,"13"
"cell1477",977.971348814666,-4093.64278323762,"13"
"cell1480",1000.38134939596,-3960.91617979482,"13"
"cell1483",951.835348136723,-4072.80418269709,"13"
"cell1487",982.183348923922,-4034.62618170679,"13"
"cell1489",918.463347271085,-4062.49018242955,"13"
"cell1492",914.765376348048,-3765.32385766506,"14"
"cell1493",965.849377673119,-3692.4778557755,"14"
"cell1496",895.379375845194,-3840.00585960224,"14"
"cell1500",930.749376762658,-3773.58585787937,"14"
"cell1504",1022.33337913826,-3796.96785848588,"14"
"cell1505",993.011378377676,-3788.43585826457,"14"
"cell1506",874.589375305921,-3809.81985881925,"12"
"cell1509",902.507376030088,-3802.09785861894,"14"
"cell1511",977.135377965868,-3894.27046100982,"14"
